Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,,,
SDN,Sudan,Sudan,Republic of the Sudan,SD,Sudanese pound,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2018-2020. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,SD,1996,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology,,,BPM6,Preliminary,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009",,,2001,2017,,,"('SDN','Sudan','Republic of the Sudan','SD','Sub-Saharan Africa','Low income','SD'),"
SEN,Senegal,Senegal,Republic of Senegal,SN,West African CFA franc,,Sub-Saharan Africa,Lower middle income,SN,2014,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2013,"Continuous Demographic and Health Survey, 2017","Priority survey (PS), 2011/12",,2013,2012,2018,,,"('SEN','Senegal','Republic of Senegal','SN','Sub-Saharan Africa','Lower middle income','SN'),"
SGP,Singapore,Singapore,Republic of Singapore,SG,Singapore dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income,SG,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected). Population figures compiled from administrative registers.,"National Health Survey, 2010",,Yes,,2014,2018,,,"('SGP','Singapore','Republic of Singapore','SG','East Asia & Pacific','High income','SG'),"
SLB,Solomon Islands,Solomon Islands,Solomon Islands,SB,Solomon Islands dollar,,East Asia & Pacific,Lower middle income,SB,2012,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2019,"Solomon Islands Demographic and Health Survey, 2006/07","Integrated household survey (IHS), 2012/13",,,,2018,,,"('SLB','Solomon Islands','Solomon Islands','SB','East Asia & Pacific','Lower middle income','SB'),"
SLE,Sierra Leone,Sierra Leone,Republic of Sierra Leone,SL,Sierra Leonean leone,,Sub-Saharan Africa,Low income,SL,2006,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020,"Demographic and Health Survey, 2019","Integrated household survey (IHS), 2011",,,1993,2017,,,"('SLE','Sierra Leone','Republic of Sierra Leone','SL','Sub-Saharan Africa','Low income','SL'),"
SLV,El Salvador,El Salvador,Republic of El Salvador,SV,U.S. dollar,,Latin America & Caribbean,Lower middle income,SV,Original chained constant price data are rescaled.,2014,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey, 2014","Integrated household survey (IHS), 2017",Yes,2007-2008,1998,2018,,,"('SLV','El Salvador','Republic of El Salvador','SV','Latin America & Caribbean','Lower middle income','SV'),"
SMR,San Marino,San Marino,Republic of San Marino,SM,Euro,,Europe & Central Asia,High income,SM,2007,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,,,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),,,Yes,,,,,,"('SMR','San Marino','Republic of San Marino','SM','Europe & Central Asia','High income','SM'),"
SOM,Somalia,Somalia,Somali Democratic Republic,SO,Somali shilling,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1977-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,SO,2017,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,,,,1987. Enumeration of settled population was in November 1986 and of nomads in February 1987.,"Multiple Indicator Cluster Survey, 2006",,,,1986,,,,"('SOM','Somalia','Somali Democratic Republic','SO','Sub-Saharan Africa','Low income','SO'),"
SRB,Serbia,Serbia,Republic of Serbia,RS,New Serbian dinar,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised.",Europe & Central Asia,Upper middle income,YF,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2019","Expenditure survey/budget survey (ES/BS), 2016",Yes,2012,2014,2018,,,"('SRB','Serbia','Republic of Serbia','RS','Europe & Central Asia','Upper middle income','YF'),"
SSA,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (excluding high income),ZF,,,,,ZF,,,,,,,,,,,,,,,,,,,,,,,"('SSA','Sub-Saharan Africa (excluding high income)','Sub-Saharan Africa (excluding high income)','ZF','','','ZF'),"
SSD,South Sudan,South Sudan,Republic of South Sudan,SS,South Sudanese Pound,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",Sub-Saharan Africa,Low income,SS,2009,,Value added at basic prices (VAB),IDA,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,,,,2008,"Multiple Indicator Cluster Survey, 2010","Expenditure survey/budget survey (ES/BS), 2009",,,,,,,"('SSD','South Sudan','Republic of South Sudan','SS','Sub-Saharan Africa','Low income','SS'),"
SSF,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZG,,Sub-Saharan Africa regional aggregate (includes all income levels).,,,ZG,,,,,,,,,,,,,,,,,,,,,,,"('SSF','Sub-Saharan Africa','Sub-Saharan Africa','ZG','','','ZG'),"
SST,Small states,Small states,Small states,S1,,Small states (members of the Small States Forum) aggregate.,,,S1,,,,,,,,,,,,,,,,,,,,,,,"('SST','Small states','Small states','S1','','','S1'),"
STP,São Tomé and Principe,São Tomé and Principe,Democratic Republic of São Tomé and Principe,ST,São Tomé and Principe dobra,National account data were adjusted to reflect the new banknote (1 new Dobra STN = 1000 old Dobra STD),Sub-Saharan Africa,Lower middle income,ST,2008,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2019","Priority survey (PS), 2010",Yes,,,2018,,,"('STP','São Tomé and Principe','Democratic Republic of São Tomé and Principe','ST','Sub-Saharan Africa','Lower middle income','ST'),"
SUR,Suriname,Suriname,Republic of Suriname,SR,Suriname dollar,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1989-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Latin America & Caribbean,Upper middle income,SR,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2018","Expenditure survey/budget survey (ES/BS), 1999",Yes,2008-2009,,2018,,,"('SUR','Suriname','Republic of Suriname','SR','Latin America & Caribbean','Upper middle income','SR'),"
SVK,Slovak Republic,Slovak Republic,Slovak Republic,SK,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2009: 1 euro = 30.126 Slovak koruna. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SK,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011,"World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013,2018,,,"('SVK','Slovak Republic','Slovak Republic','SK','Europe & Central Asia','High income','SK'),"
SVN,Slovenia,Slovenia,Republic of Slovenia,SI,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2007: 1 euro = 239.64 Slovenian tolar. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income,SI,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,Euro area,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2018. Population figures compiled from administrative registers.,"World Health Survey, 2003","Income survey (IS), 2015",Yes,2010,2013,2018,,,"('SVN','Slovenia','Republic of Slovenia','SI','Europe & Central Asia','High income','SI'),"
SWE,Sweden,Sweden,Kingdom of Sweden,SE,Swedish krona,Fiscal year end: June 30; reporting period for national accounts data: CY.,Europe & Central Asia,High income,SE,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2011. Population figures compiled from administrative registers.,,"Income survey (IS), 2015",Yes,2010,2014,2018,,,"('SWE','Sweden','Kingdom of Sweden','SE','Europe & Central Asia','High income','SE'),"
SWZ,Eswatini,Eswatini,Kingdom of Eswatini,SZ,Swazi lilangeni,Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.,Sub-Saharan Africa,Lower middle income,SZ,2011,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2017,"Multiple Indicator Cluster Survey, 2014","Expenditure survey/budget survey (ES/BS), 2009/10",,,2011,2017,,,"('SWZ','Eswatini','Kingdom of Eswatini','SZ','Sub-Saharan Africa','Lower middle income','SZ'),"
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Sint Maarten (Dutch part),SX,Netherlands Antillean guilder,,Latin America & Caribbean,High income,SX,,,Value added at basic prices (VAB),,,,,,BPM6,,,,,,,,Yes,,,,,,"('SXM','Sint Maarten (Dutch part)','Sint Maarten (Dutch part)','SX','Latin America & Caribbean','High income','SX'),"
SYC,Seychelles,Seychelles,Republic of Seychelles,SC,Seychelles rupee,,Sub-Saharan Africa,High income,SC,2014,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),,"Expenditure survey/budget survey (ES/BS), 2013",Yes,2011,,2018,,,"('SYC','Seychelles','Republic of Seychelles','SC','Sub-Saharan Africa','High income','SC'),"
SYR,Syrian Arab Republic,Syrian Arab Republic,Syrian Arab Republic,SY,Syrian pound,"The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 2011-2017. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Middle East & North Africa,Low income,SY,2000,,Value added at producer prices (VAP),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Estimate,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2004,"Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2007",,,2005,2010,,,"('SYR','Syrian Arab Republic','Syrian Arab Republic','SY','Middle East & North Africa','Low income','SY'),"
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks and Caicos Islands,TC,U.S. dollar,,Latin America & Caribbean,High income,TC,2012,,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology,,,BPM6,,,,,2012,"Multiple Indicator Cluster Survey, 2019/20",,Yes,,,2012,,,"('TCA','Turks and Caicos Islands','Turks and Caicos Islands','TC','Latin America & Caribbean','High income','TC'),"
TCD,Chad,Chad,Republic of Chad,TD,Central African CFA franc,,Sub-Saharan Africa,Low income,TD,2005,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Preliminary,,,Enhanced General Data Dissemination System (e-GDDS),2009,"Multiple Indicator Cluster Survey, 2019","Priority survey (PS), 2011",,,,1995,,,"('TCD','Chad','Republic of Chad','TD','Sub-Saharan Africa','Low income','TD'),"
TEA,East Asia & Pacific (IDA & IBRD),East Asia & Pacific (IDA & IBRD),East Asia & Pacific (IDA & IBRD),T4,,East Asia & Pacific (IDA & IBRD countries) aggregate.,,,T4,,,,,,,,,,,,,,,,,,,,,,,"('TEA','East Asia & Pacific (IDA & IBRD)','East Asia & Pacific (IDA & IBRD)','T4','','','T4'),"
TEC,Europe & Central Asia (IDA & IBRD),Europe & Central Asia (IDA & IBRD),Europe & Central Asia (IDA & IBRD),T7,,Europe & Central Asia (IDA & IBRD countries) aggregate.,,,T7,,,,,,,,,,,,,,,,,,,,,,,"('TEC','Europe & Central Asia (IDA & IBRD)','Europe & Central Asia (IDA & IBRD)','T7','','','T7'),"
TGO,Togo,Togo,Republic of Togo,TG,West African CFA franc,,Sub-Saharan Africa,Low income,TG,2016,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Malaria Indicator Survey, 2017; Multiple Indicator Cluster Survey, 2017","Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,2011-14,,2017,,,"('TGO','Togo','Republic of Togo','TG','Sub-Saharan Africa','Low income','TG'),"
THA,Thailand,Thailand,Kingdom of Thailand,TH,Thai baht,Fiscal year end: September 30; reporting period for national accounts data: CY.,East Asia & Pacific,Upper middle income,TH,Original chained constant price data are rescaled.,2002,Value added at producer prices (VAP),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2015",,2013,2011,2018,,,"('THA','Thailand','Kingdom of Thailand','TH','East Asia & Pacific','Upper middle income','TH'),"
TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,Tajik somoni,,Europe & Central Asia,Lower middle income,TJ,Original chained constant price data are rescaled.,2000,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),2020 (expected),"Demographic and Health Survey, 2017","Expenditure survey/budget survey (ES/BS), 2015",,2013,,,,,"('TJK','Tajikistan','Republic of Tajikistan','TJ','Europe & Central Asia','Lower middle income','TJ'),"
TKM,Turkmenistan,Turkmenistan,Turkmenistan,TM,New Turkmen manat,,Europe & Central Asia,Upper middle income,TM,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,,,,2012,"Multiple Indicator Cluster Survey, 2019","Living Standards Measurement Study Survey (LSMS), 1998",,,,2000,,,"('TKM','Turkmenistan','Turkmenistan','TM','Europe & Central Asia','Upper middle income','TM'),"
TLA,Latin America & Caribbean (IDA & IBRD),Latin America & Caribbean (IDA & IBRD),Latin America & Caribbean (IDA & IBRD),T2,,Latin America & the Caribbean (IDA & IBRD countries) aggregate.,,,T2,,,,,,,,,,,,,,,,,,,,,,,"('TLA','Latin America & Caribbean (IDA & IBRD)','Latin America & Caribbean (IDA & IBRD)','T2','','','T2'),"
TLS,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,TL,U.S. dollar,,East Asia & Pacific,Lower middle income,TP,2015,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),2015,"Demographic and Health Survey, 2016","Living Standards Measurement Study Survey (LSMS), 2014/15",,,,2017,,,"('TLS','Timor-Leste','Democratic Republic of Timor-Leste','TL','East Asia & Pacific','Lower middle income','TP'),"
TMN,Middle East & North Africa (IDA & IBRD),Middle East & North Africa (IDA & IBRD),Middle East & North Africa (IDA & IBRD),T3,,Middle East & North Africa (IDA & IBRD countries) aggregate.,,,T3,,,,,,,,,,,,,,,,,,,,,,,"('TMN','Middle East & North Africa (IDA & IBRD)','Middle East & North Africa (IDA & IBRD)','T3','','','T3'),"
TON,Tonga,Tonga,Kingdom of Tonga,TO,Tongan pa'anga,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",East Asia & Pacific,Upper middle income,TO,2016/17,,Value added at basic prices (VAB),IDA,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2016,"Multiple Indicator Cluster Survey, 2019","Integrated household survey (IHS), 2009",,2015,1981,2014,,,"('TON','Tonga','Kingdom of Tonga','TO','East Asia & Pacific','Upper middle income','TO'),"
TSA,South Asia (IDA & IBRD),South Asia (IDA & IBRD),South Asia (IDA & IBRD),T5,,South Asia (IDA & IBRD countries) aggregate.,,,T5,,,,,,,,,,,,,,,,,,,,,,,"('TSA','South Asia (IDA & IBRD)','South Asia (IDA & IBRD)','T5','','','T5'),"
TSS,Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD),T6,,Sub-Saharan Africa (IDA & IBRD countries) aggregate.,,,T6,,,,,,,,,,,,,,,,,,,,,,,"('TSS','Sub-Saharan Africa (IDA & IBRD)','Sub-Saharan Africa (IDA & IBRD)','T6','','','T6'),"
TTO,Trinidad and Tobago,Trinidad and Tobago,Republic of Trinidad and Tobago,TT,Trinidad and Tobago dollar,,Latin America & Caribbean,High income,TT,2012,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2011","Integrated household survey (IHS), 1992",Yes,,2006,2015,,,"('TTO','Trinidad and Tobago','Republic of Trinidad and Tobago','TT','Latin America & Caribbean','High income','TT'),"
TUN,Tunisia,Tunisia,Republic of Tunisia,TN,Tunisian dinar,,Middle East & North Africa,Lower middle income,TN,2015,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey, 2018","Integrated household survey (IHS), 2015",,,2010,2017,,,"('TUN','Tunisia','Republic of Tunisia','TN','Middle East & North Africa','Lower middle income','TN'),"
TUR,Türkiye,Türkiye,Republic of Türkiye,TR,New Turkish lira,,Europe & Central Asia,Upper middle income,TR,Original chained constant price data are rescaled.,2009,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","Demographic and Health Survey, 2018","Expenditure survey/budget survey (ES/BS), 2016",Yes,,2014,2018,,,"('TUR','Türkiye','Republic of Türkiye','TR','Europe & Central Asia','Upper middle income','TR'),"
TUV,Tuvalu,Tuvalu,Tuvalu,TV,Australian dollar,,East Asia & Pacific,Upper middle income,TV,2016,,Value added at basic prices (VAB),IDA,,Country uses the 1968 System of National Accounts methodology,,,BPM6,,,,Enhanced General Data Dissemination System (e-GDDS),2012,"Multiple Indicator Cluster Survey, 2019/20","Expenditure survey/budget survey (ES/BS), 2010",,,,2008,,,"('TUV','Tuvalu','Tuvalu','TV','East Asia & Pacific','Upper middle income','TV'),"
TZA,Tanzania,Tanzania,United Republic of Tanzania,TZ,Tanzanian shilling,,Sub-Saharan Africa,Lower middle income,TZ,2015,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,"Malaria Indicator Survey, 2017","Expenditure survey/budget survey (ES/BS), 2011/12",,2007-2008,2010,2018,,,"('TZA','Tanzania','United Republic of Tanzania','TZ','Sub-Saharan Africa','Lower middle income','TZ'),"
UGA,Uganda,Uganda,Republic of Uganda,UG,Ugandan shilling,"The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY). 	

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to 1960-2009. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",Sub-Saharan Africa,Low income,UG,2016/2017,,Value added at basic prices (VAB),IDA,HIPC,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),2014,"Malaria Indicator Survey, 2018/19; National Panel Survey 2018-2019","Integrated household survey (IHS), 2015/16",,2008-2009,2000,2018,,,"('UGA','Uganda','Republic of Uganda','UG','Sub-Saharan Africa','Low income','UG'),"
UKR,Ukraine,Ukraine,Ukraine,UA,Ukrainian hryvnia,,Europe & Central Asia,Lower middle income,UA,Original chained constant price data are rescaled.,2016,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2020 (expected),"Multiple Indicator Cluster Survey, 2012","Integrated household survey (IHS), 2017",Yes,,2014,2018,,,"('UKR','Ukraine','Ukraine','UA','Europe & Central Asia','Lower middle income','UA'),"
UMC,Upper middle income,Upper middle income,Upper middle income,XT,,"Upper middle income group aggregate. Upper-middle-income economies are those in which 2021 GNI per capita was between $4,256 and $13,205.",,,XT,,,,,,,,,,,,,,,,,,,,,,,"('UMC','Upper middle income','Upper middle income','XT','','','XT'),"
URY,Uruguay,Uruguay,Oriental Republic of Uruguay,UY,Uruguayan peso,,Latin America & Caribbean,High income,UY,2016,,Value added at basic prices (VAB),IBRD,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Multiple Indicator Cluster Survey, 2012/13","Integrated household survey (IHS), 2017",Yes,2011,2011,2018,,,"('URY','Uruguay','Oriental Republic of Uruguay','UY','Latin America & Caribbean','High income','UY'),"
USA,United States,United States,United States of America,US,U.S. dollar,,North America,High income,US,Original chained constant price data are rescaled.,2015,Value added at basic prices (VAB),,,Country uses the 2008 System of National Accounts methodology,,,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),2020 (expected),,"Labor force survey (LFS), 2016",Yes,2012,2011,2018,,,"('USA','United States','United States of America','US','North America','High income','US'),"
UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,UZ,Uzbek som,,Europe & Central Asia,Lower middle income,UZ,Original chained constant price data are rescaled.,,Value added at basic prices (VAB),Blend,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),1989,"Multiple Indicator Cluster Survey, 2006","Expenditure survey/budget survey (ES/BS), 2013",Yes,,,2018,,,"('UZB','Uzbekistan','Republic of Uzbekistan','UZ','Europe & Central Asia','Lower middle income','UZ'),"
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VC,East Caribbean dollar,,Latin America & Caribbean,Upper middle income,VC,2018,,Value added at basic prices (VAB),Blend,,Country uses the 2008 System of National Accounts methodology,,,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),2012,,,Yes,,,2018,,,"('VCT','St. Vincent and the Grenadines','St. Vincent and the Grenadines','VC','Latin America & Caribbean','Upper middle income','VC'),"
VEN,Venezuela,"Venezuela, RB",República Bolivariana de Venezuela,VE,Venezuelan bolivar fuerte,,Latin America & Caribbean,,VE,1997,,Value added at basic prices (VAB),IBRD,,Country uses the 1993 System of National Accounts methodology,,,BPM6,Actual,,,Enhanced General Data Dissemination System (e-GDDS),2011,"Multiple Indicator Cluster Survey, 2000","Integrated household survey (IHS), 2015",,2008,1998,2013,,,"('VEN','Venezuela','República Bolivariana de Venezuela','VE','Latin America & Caribbean','','VE'),"
VGB,British Virgin Islands,British Virgin Islands,British Virgin Islands,VG,U.S. dollar,,Latin America & Caribbean,High income,VG,,,,,,,,,,,,,,2020 (expected),"STEPS Risk Factor Survey, 2010",,Yes,,,,,,"('VGB','British Virgin Islands','British Virgin Islands','VG','Latin America & Caribbean','High income','VG'),"
VIR,Virgin Islands,Virgin Islands (U.S.),Virgin Islands of the United States,VI,U.S. dollar,,Latin America & Caribbean,High income,VI,,,,,,,,,,,General trade system,,,2020 (expected),,,Yes,2012,,,,,"('VIR','Virgin Islands','Virgin Islands of the United States','VI','Latin America & Caribbean','High income','VI'),"
